Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
03:47:44.749,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:47:45.166,DATA,0x0003,0x0003,61,1,69,-48,,,,,,,
03:47:45.997,DATA,0x0004,0x0003,47,2,83,-53,,,,,,,
03:47:47.260,DATA,0x0003,0x0003,62,1,53,-52,,,,,,,
03:47:48.166,DATA,0x0004,0x0003,48,2,67,-52,,,,,,,
03:47:49.367,DATA,0x0003,0x0003,63,1,19,-47,,,,,,,
03:47:50.260,DATA,0x0004,0x0003,49,2,72,-53,,,,,,,
03:47:51.514,DATA,0x0003,0x0003,64,1,53,-47,,,,,,,
03:47:52.323,DATA,0x0004,0x0003,50,2,76,-53,,,,,,,
03:47:53.688,DATA,0x0003,0x0003,65,1,24,-47,,,,,,,
03:47:54.396,DATA,0x0004,0x0003,51,2,0,-53,,,,,,,
03:47:54.914,REPORT,0x0004,,50,,,,6,10,0,0,51,0,102.00
03:47:55.827,DATA,0x0003,0x0003,66,1,18,-52,,,,,,,
03:47:56.434,DATA,0x0004,0x0003,52,2,74,-53,,,,,,,
03:47:57.930,DATA,0x0003,0x0003,67,1,11,-48,,,,,,,
03:47:58.496,DATA,0x0004,0x0003,53,2,76,-53,,,,,,,
03:47:59.982,DATA,0x0003,0x0003,68,1,17,-47,,,,,,,
03:48:00.641,DATA,0x0004,0x0003,54,2,81,-51,,,,,,,
03:48:02.168,DATA,0x0003,0x0003,69,1,20,-48,,,,,,,
03:48:02.796,DATA,0x0004,0x0003,55,2,83,-52,,,,,,,
03:48:04.343,DATA,0x0003,0x0003,70,1,60,-48,,,,,,,
03:48:04.870,DATA,0x0004,0x0003,56,2,71,-52,,,,,,,
03:48:06.545,DATA,0x0003,0x0003,71,1,21,-47,,,,,,,
03:48:06.939,DATA,0x0004,0x0003,57,2,85,-53,,,,,,,
03:48:07.318,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:48:08.697,DATA,0x0003,0x0003,72,1,15,-53,,,,,,,
03:48:09.000,DATA,0x0004,0x0003,58,2,83,-51,,,,,,,
03:48:10.801,DATA,0x0003,0x0003,73,1,26,-48,,,,,,,
03:48:11.054,DATA,0x0004,0x0003,59,2,101,-51,,,,,,,
03:48:12.915,DATA,0x0003,0x0003,74,1,16,-53,,,,,,,
03:48:13.218,DATA,0x0004,0x0003,60,2,79,-52,,,,,,,
