Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),QLD(%),Pin(%)
2026-03-12 02:11:28,0007,1,0002,0008,-49,222,0,100.0
2026-03-12 02:11:28,0007,1,0002,0009,-50,222,0,100.0
2026-03-12 02:11:58,0007,1,0002,0002,-60,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0006,-49,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0005,-55,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0004,-57,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0003,-57,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,000A,-38,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0008,-46,258,0,100.0
2026-03-12 02:11:58,0007,1,0002,0009,-50,258,0,100.0
2026-03-12 02:11:58,0008,2,0006,0007,-47,223,0,100.0
2026-03-12 02:11:58,0008,2,0006,0003,-58,68,0,100.0
2026-03-12 02:11:58,0008,2,0006,0004,-60,68,0,100.0
2026-03-12 02:11:58,0008,2,0006,0006,-60,223,0,100.0
2026-03-12 02:11:58,0008,2,0006,0009,-37,223,0,100.0
2026-03-12 02:11:58,0008,2,0006,000A,-53,223,0,100.0
2026-03-12 02:11:58,000A,2,0007,0007,-41,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0005,-45,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0006,-54,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0003,-56,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0004,-58,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0009,-52,203,0,100.0
2026-03-12 02:11:58,000A,2,0007,0008,-57,203,0,100.0
2026-03-12 02:11:58,0006,1,0002,0002,-52,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0004,-50,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0005,-51,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0003,-54,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0007,-55,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0008,-51,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,0009,-52,323,0,100.0
2026-03-12 02:11:58,0006,1,0002,000A,-54,323,0,100.0
2026-03-12 02:11:58,0005,1,0002,0002,-57,157,0,100.0
2026-03-12 02:11:58,0005,1,0002,0003,-49,157,0,100.0
2026-03-12 02:11:58,0005,1,0002,0006,-53,339,0,100.0
2026-03-12 02:11:58,0005,1,0002,0004,-55,339,0,100.0
2026-03-12 02:11:58,0005,1,0002,0007,-57,339,0,100.0
2026-03-12 02:11:58,0005,1,0002,000A,-45,339,0,100.0
2026-03-12 02:11:58,0005,1,0002,0009,-58,339,0,100.0
2026-03-12 02:11:58,0003,1,0002,0002,-51,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,0004,-46,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,0005,-48,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,0006,-50,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,0007,-58,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,000A,-55,387,0,100.0
2026-03-12 02:11:58,0003,1,0002,0008,-58,387,0,100.0
2026-03-12 02:11:58,0004,1,0002,0002,-51,157,0,100.0
2026-03-12 02:11:58,0004,1,0002,0003,-45,157,0,100.0
2026-03-12 02:11:58,0004,1,0002,0005,-53,157,0,100.0
2026-03-12 02:11:58,0004,1,0002,0006,-55,157,0,100.0
2026-03-12 02:11:58,0004,1,0002,0007,-58,157,0,100.0
2026-03-12 02:11:58,0004,1,0002,000A,-58,21,0,100.0
2026-03-12 02:11:58,0004,1,0002,0008,-60,21,0,100.0
2026-03-12 02:11:58,0009,2,0007,0007,-51,235,0,100.0
2026-03-12 02:11:58,0009,2,0007,0006,-52,235,0,100.0
2026-03-12 02:11:58,0009,2,0007,0005,-58,235,0,100.0
2026-03-12 02:11:58,0009,2,0007,0008,-45,235,0,100.0
2026-03-12 02:11:58,0009,2,0007,000A,-52,235,0,100.0
2026-03-12 02:12:28,0007,1,0002,0002,-60,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0006,-54,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0005,-55,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0004,-57,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0003,-58,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0009,-46,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,0008,-46,288,0,100.0
2026-03-12 02:12:28,0007,1,0002,000A,-46,288,0,100.0
2026-03-12 02:12:28,0003,1,0002,0002,-43,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,0004,-45,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,0006,-48,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,0005,-48,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,0007,-56,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,000A,-53,423,0,100.0
2026-03-12 02:12:28,0003,1,0002,0008,-58,423,0,100.0
2026-03-12 02:12:28,0005,1,0002,0002,-57,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,0003,-47,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,0007,-51,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,0004,-53,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,0006,-57,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,000A,-45,374,0,100.0
2026-03-12 02:12:28,0005,1,0002,0009,-58,374,0,100.0
2026-03-12 02:12:28,000A,2,0007,0007,-39,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0005,-44,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0003,-53,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0006,-55,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0004,-58,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0009,-52,238,0,100.0
2026-03-12 02:12:28,000A,2,0007,0008,-54,238,0,100.0
2026-03-12 02:12:28,0004,1,0002,0002,-49,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,0003,-46,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,0006,-55,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,0005,-55,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,0007,-59,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,000A,-58,51,0,100.0
2026-03-12 02:12:28,0004,1,0002,0008,-60,51,0,100.0
2026-03-12 02:12:28,0006,1,0002,0002,-52,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,0007,-49,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,0003,-54,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,0004,-55,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,0005,-55,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,0009,-51,347,0,100.0
2026-03-12 02:12:28,0006,1,0002,000A,-54,347,0,100.0
